reindex,Index,CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),LAND/SEA (SAMPLING),ELEVATION (MIN.),ELEVATION (MAX.),ROCK NAME,ROCK TEXTURE,DRILLING DEPTH (MIN.),DRILLING DEPTH (MAX.),ALTERATION,LITHOLOGY CODE,SPOT,CRYSTAL,RIM/CORE (MINERAL GRAINS),GRAIN SIZE,PRIMARY/SECONDARY,V(PPM),MN(PPM),AS(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),U(PPB),ND143_ND144,Eu/Eu* 
1,4,[46] SPENGLER S. (1988),samp. H-84-25,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,MUGEARITE,FINE-GRAINED INTERGRANULAR APHYRIC,,,fresh,missing,,,,,primary,,,,,,,,,,475,530,110,635,,,,,,,,,,,,,,,,,
2,6,[46] SPENGLER S. (1988),samp. H-84-62,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,BENMOREITE,PORPHYRITIC,,,fresh,missing,,,,,primary,,,,,,,,,,790,1990,140,920,,,,,,,,,,,,,,,,,
3,7,[46] SPENGLER S. (1988),samp. H-84-61,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KOHALA / POST-SHIELD STAGE / HAWI SERIES,,20.23,20.23,-155.8,-155.8,subaerial,,,TRACHYTE,,,,fresh,missing,,,,,primary,,,,,,,,,,490,1025,173,865,,,,,,,,,,,,,,,,,
4,8,[457] HAURI E. H. (1993),samp. 90SAV1-1,OCEAN ISLAND,SAMOAN ISLANDS / SAVAI^I,,-13.5,-13.5,-172.5,-172.5,subaerial,,,HARZBURGITE XENOLITH,,,,,missing,,,,,primary,,,,,7050,,6.14,0.1,538,1400,3420,,1240,155,49,,,72,,32,,20,,,,,,,,
5,9,[457] HAURI E. H. (1993),samp. TBA1-9,OCEAN ISLAND,AUSTRAL-COOK ISLANDS / TUBUAI,,-23.38,-23.38,-149.45,-149.45,subaerial,,,WEHRLITE XENOLITH,MILDLY PORPHYROCLASTIC,,,,missing,,,,,primary,,,,,9840,,4,0.1,845,2006,5552,,3272,638,197,,,234,,92,,51,,,,,,,,
6,10,[457] HAURI E. H. (1993),samp. TBA4-11,OCEAN ISLAND,AUSTRAL-COOK ISLANDS / TUBUAI,,-23.38,-23.38,-149.45,-149.45,subaerial,,,DUNITE XENOLITH,CUMULATE,,,,missing,,,,,primary,,,,,12300,,7.74,0.1,1040,2940,7000,,2280,263,81,,,119,,62,,45,,,,,,,,
7,38,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-1,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,980,1779,,772,128,31,98,,52,,17,,10,,,,,,,,0.598119953
8,39,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-2,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,1252,2228,,889,136,33,99,,53,,18,,11,,,,,,,,0.611458446
9,40,[1453] WULFF-PEDERSEN E. (1999),samp. PAT2-62III-3,OCEAN ISLAND,CANARY ISLANDS / LA PALMA / SAN ANTONIO,,28.53,28.53,-17.8,-17.8,subaerial,,,DUNITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,698,1460,,733,126,31,91,,49,,15,,9,,,,,,,,0.64922119
10,69,[3559] MENZIES M. A. (1985),samp. ENO2,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / ARIZONA / GERONIMO VOLCANIC FIELD,,31.4,31.7,-109.1,-109.4,subaerial,,,NOT GIVEN,UNFOLIATED GRANOBLASTIC-EQUANT TO COARSE EQUANT,,,,missing,,,,,primary,,,,,,,,,,899,1940,,815,128,32.9,93.5,,67.4,,30.4,,20.4,,,,,,,0.513003,0.665329775
11,70,[3559] MENZIES M. A. (1985),samp. 22-16A,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / ARIZONA / GERONIMO VOLCANIC FIELD,,31.4,31.7,-109.1,-109.4,subaerial,,,NOT GIVEN,UNFOLIATED GRANOBLASTIC-EQUANT TO COARSE EQUANT,,,,missing,,,,,primary,,,,,,,,,,1040,1970,,800,119,34.1,98.9,,62.5,,27.5,,19.8,,,,,,,,0.676148773
12,95,[3965] LUHR J. F. (1984),samp. 6,CONVERGENT MARGIN,MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / CHIAPAS / EL CHICHON,,17.36,17.36,-93.23,-93.23,subaerial,,,TRACHYANDESITE APATITE,,,,,missing,,,,,primary,,1070,,,,,,,,744,1530,,611,99.7,21.7,,10.7,56.3,,,,23.4,3.2,,,33.7,10.5,,,
13,119,[4604] UPTON B. G. J. (1999),samp. LR57,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / LEWISIAN GNEISS COMPLEX / SCOURIE DIKES,,57.9,58.4,-5.15,-5.16,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,8769,145,22.3,,65.8,907,1905,235,1031,140,48.2,85.3,9.66,47.8,7.29,15.8,1.78,8.99,1.04,,,11.2,1.73,,,1.021625317
14,120,[4604] UPTON B. G. J. (1999),samp. FD305,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / MIDLAND VALLEY SCOTLAND,FIDRA,56.08,56.08,-2.78,-2.78,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,2518,199,,,57.8,579,1215,150,695,103,36.1,70.9,8.9,46.2,7.43,14.6,1.74,6.91,0.55,,,3.98,1.07,,,1.073247812
15,121,[4604] UPTON B. G. J. (1999),samp. FD86,INTRAPLATE VOLCANICS,NORTH ATLANTIC CRATON / SCOTLAND / MIDLAND VALLEY SCOTLAND,FIDRA,56.08,56.08,-2.78,-2.78,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,1655,677,,,15.9,3595,6628,688,2649,410,94,297,,173,26.9,69.1,8.6,40.7,5.31,,,48.6,13,,,0.334377567
16,122,[4604] UPTON B. G. J. (1999),samp. GRB117,CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE / MORAR FORMATION,MULL GRIBUN 18KM NW OF THE GREAT GLEN FAULT,56.4,56.4,-6.2,-6.2,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,2610,629,6.92,,316,3567,6858,730,3020,513,122,390,42.9,201,32.5,70,10.9,43.3,5.65,,,124,30.25,,,0.295456942
17,123,[4604] UPTON B. G. J. (1999),samp. MLL6,CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / BRITISH TERTIARY VOLCANIC PROVINCE / MORAR FORMATION,MULL GRIBUN 18KM NW OF THE GREAT GLEN FAULT,56.4,56.4,-6.2,-6.2,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,4040,138,,,16.3,365,864,110,520,102,32.6,81.4,7.85,38.8,5.03,12.3,1.25,5.06,0.64,,,3.88,1.07,,,0.848302539
18,141,[4961] MAHOOD G. A. (1985),samp. 995-7B,RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / JALISCO / SAN GASPAR,GUADALAJARA AREA,21,21.5,-103.25,-103.75,subaerial,,,IGNIMBRITIC TUFF,,,,,missing,,,,,primary,,725,,14,1303,,,,200,615,1542,,1017,219,39.1,,25.7,,,,,46,6.1,,,30.8,,,,
19,165,[6113] PASTER T. P. (1974),samp. EG4312,CONTINENTAL FLOOD BASALT,NORTH ATLANTIC IGNEOUS PROVINCE (NAIP) / EAST GREENLAND / SKAERGAARD INTRUSION-LAYERED SERIES,NE OF HOUSE AREA,68.1,68.2,-31.5,-31.8,subaerial,,,GABBRO FAYALITE,,,,,missing,,,,,primary,,,,,,,,,,320,990,,870,280,64,320,48,,43,,,52,,,,,,,,0.255686994
20,218,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,rim,,primary,,,,,,,,,,601,1403,173,840,140,37,120,13,66,6.9,13,1.3,8,0.9,,,,,,,0.557460523
21,219,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,rim,,primary,,,,,,,,,,627,1293,158,747,131,33,107,11,57,6.8,14,1.3,7,0.8,,,,,,,0.576437428
22,220,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,rim,,primary,,,,,,,,,,717,1525,175,811,139,34,117,12,58,7.5,16,1.5,10,1,,,,,,,0.527282445
23,221,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,core,,primary,,,,,,,,,,489,1084,132,642,112,31,102,11,53,6.1,13,1.1,6,0.6,,,,,,,0.614341945
24,222,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,core,,primary,,,,,,,,,,535,1187,145,746,138,36,112,12,62,6.4,13,1.1,7,0.8,,,,,,,0.585332438
25,223,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,core,,primary,,,,,,,,,,579,1158,141,700,117,32,109,12,59,7.5,16,1.5,10,1.1,,,,,,,0.58061494
26,224,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,rim,,primary,,,,,,,,,,639,1349,159,742,128,32,106,11,55,7,15,2,10,0.2,,,,,,,0.570816851
27,225,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,core,,primary,,,,,,,,,,533,1135,137,681,118,31,100,11,53,6,14,1,8,1,,,,,,,0.610489709
28,226,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,rim,,primary,,,,,,,,,,682,1490,184,797,140,34,104,,49,,21,,15,,,,,,,,0.591070409
29,227,[7589] BUSA T. (2002),samp. TM4A,COMPLEX VOLCANIC SETTINGS,ETNA/SICILY / ANCIENT ALKALINE CENTRES UNIT,TIMPE DI MOSCARELLO EASTERN SLOPE OF VOLCANO,37.73,37.73,15,15,subaerial,,,HAWAIITE,,,,,missing,,microphenocryst,core,,primary,,,,,,,,,,122,257,,126,35,,34,,29,,,,17,,,,,,,,
30,230,[7627] IONOV D. A. (1995),samp. 8803-1,CONVERGENT MARGIN,SIKHOTE-ALIN-SAKHALIN ARC / SIKHOTE ALIN ARC / SIKHOTE-ALIN BELT - CRETACEOUS-PALEOGENE / PODGELBAN,SHKOTOVO PLATEAU,42,42,133,133,subaerial,,,PERIDOTITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,6130,170,30,,,940,2570,340,1100,,,,,,,,,,,,,,,,,
31,274,[8064] WÖRNER G. (1983),samp. 1089-1,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / EIFEL / LAACHER SEE,WINGERTSBERG QUARRY 2.5 KM SOUTH OF LAACHER SEE BASIN CENTER,50.4,50.4,7.3,7.3,subaerial,,,PHONOLITE,,,,,missing,,,,,primary,,,,,,,,,,1887,4129,,1710,197,45.9,,20.7,,13,,,27.4,2.36,,,42.2,,,,
32,278,[8114] DAVIES G. R. (1989),samp. 23211,RIFT VOLCANICS,EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / LAKE EDWARD,,-0.08,-0.08,29.92,29.92,subaerial,,,PYROXENITE XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,744.2,1631.7,,742.29,109.77,29.9,57.16,,35.65,,12.19,,5.44,,,,,,,,1.068057892
33,295,[8205] IRVING A. J. (1984),samp. 188/7,,,,,,,,,,,HAWAIITE NEPHELINE,,,,,missing,,macrocryst,,,primary,,,,,,,,,,517,1205,,614,104,30.9,81.7,10.3,,,,,11.3,1.52,,,5.2,,,,0.793372989
34,296,[8205] IRVING A. J. (1984),samp. SC73,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / JEMEZ LINEAMENT (RATON HOTSPOT) / ARIZONA / SAN CARLOS VOLCANIC FIELD,PERIDOT MESA VENT,33.37,33.37,-110.48,-110.48,subaerial,,,BASANITE,,,,,missing,,macrocryst,,,primary,,,,,,,,,,712,1540,,,121,34.9,,14.2,,,,,19.4,2.38,,,13,,,,
35,298,[8274] BEDINI R. M. (1999),samp. ET49,RIFT VOLCANICS,EAST AFRICAN RIFT / ETHIOPIAN RIFT / ANZA GRABEN,SIDAMO REGION SOUTHERN ETHIOPIA SOUTH OF THE TOWN OF MEGGA,3.9,3.9,38.21,38.21,subaerial,,,HARZBURGITE XENOLITH,PORPHYROCLASTIC,,,fresh,missing,,,,,primary,,,,0.4,20850,147,11.6,4.98,1240,3925,4295,315,1035,127,32.3,78.8,10.4,40.2,5.8,11.4,1.2,6.1,0.74,,,661,126,,,0.778094063
36,320,[8561] FREY F. A. (1974),samp. 2638,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - MOUNT LEURA,,-38.2333,-38.2333,143.15,143.15,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,,,,,,,,,,4200,8000,,3400,480,130,380,48,,,,,25,2.5,,,,,,,0.334038707
37,404,[9953] CHAZOT G. (1996),samp. JK3,INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD / YEMEN / BALHAF GRABEN / ATAQ,,14.6,14.6,46.8,46.8,subaerial,,,LHERZOLITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,69700,69.2,0.49,,2570,12500,14000,714,1300,55.3,5.06,18,2.88,8.26,2.3,7.97,,3.76,2.92,,,1340,,,,0.808673299
38,405,[9953] CHAZOT G. (1996),samp. JK8,INTRAPLATE VOLCANICS,ARABIAN-NUBIAN SHIELD / YEMEN / BALHAF GRABEN / ATAQ,,14.6,14.6,46.8,46.8,subaerial,,,LHERZOLITE SPINEL XENOLITH,PROTOGRANULAR,,,,missing,,,,,primary,,,,,33200,276.5,0.49,,1125,3750,6105,592.5,2195,350,93.9,236,23.2,65.25,10.6,20.15,,3.97,2.08,,,291.5,,,,0.4549642
39,813,[11521] HO KUNG-SUAN (2000),samp. TG01,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / TAIWAN / PENGHU ISLANDS,TUNGCHIHSU ISLAND,23.25,23.25,119.67,119.67,subaerial,,,CLINOPYROXENITE GARNET-AMPHIBOLE XENOLITH,,,,,missing,,,,,primary,3,,,,1086.3,69.7,6,,14,140,296.6,,168.9,28.99,6.82,,3.17,,,,,3.5,0.42,,,3.83,,,,
40,846,[12171] O^REILLY S. Y. (1991),samp. BM 901,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR,,-38.25,-38.25,143.1,143.1,subaerial,,,LHERZOLITE XENOLITH,,,,,missing,,,,,primary,,,,,6150,134,23,,159,792,1130,172,419,,,,150,,,,,,,16,,,70,,,
41,847,[12171] O^REILLY S. Y. (1991),samp. BM 650,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR,,-38.25,-38.25,143.1,143.1,subaerial,,,LHERZOLITE XENOLITH,,,,,missing,,,,,primary,,,,11,12200,177,51,,102,1740,2590,219,622,,,,310,,,,,,,30,,,150,,,
42,848,[12171] O^REILLY S. Y. (1991),samp. BM 655,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR,,-38.25,-38.25,143.1,143.1,subaerial,,,LHERZOLITE XENOLITH,,,,,missing,,,,,primary,,,,21,18400,196,26,,151,2140,2980,240,723,,,,673,,,,,,,66,,,249,,,
43,849,[12171] O^REILLY S. Y. (1991),samp. BM 632,INTRAPLATE VOLCANICS,AUSTRALIA / EASTERN AUSTRALIAN CENOZOIC VOLCANIC ZONE / VICTORIA / NEWER VOLCANIC PROVINCE - BULLENMERRI MAAR,,-38.25,-38.25,143.1,143.1,subaerial,,,LHERZOLITE XENOLITH,,,,,missing,,,,,primary,,,,19,23200,245,76,,359,2510,3620,179,823,152,219,,387,,,,,,,47,,,225,,,
44,864,[12211] XU XISHENG (2003),samp. NU9602,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE / NUSHAN,,32.95,32.95,118.22,118.22,subaerial,,,LHERZOLITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,10730,164,5.49,0.42,,1550,2290,,788,103,27,68.2,,37.1,6.1,13.4,,8.9,1.1,,,56.5,,,,0.834484808
45,865,[12211] XU XISHENG (2003),samp. NUSH1,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JIANGSU PROVINCE / NUSHAN,,32.95,32.95,118.22,118.22,subaerial,,,PERIDOTITE AMPHIBOLE-SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,10110,139,21.4,3,,1400,2540,,707,93.1,25,63.4,,32.6,5.5,10.4,,7.8,0.99,,,75.1,,,,0.874245827
46,871,[12346] IONOV D. A. (1997),samp. 4334-1U,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / MONGOLIA - CENOZOIC/QUATERNARY / KHANGAI OROGEN / SHAVARYN-TSARAM,TARIAT DEPRESSION,48.2,48.2,100,100,subaerial,,,LHERZOLITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,0.105,4087,,0.87,2.66,118,765,623,,87,13.9,,,,,,,,5.7,,0.92,,95.2,23.2,,,
47,872,[12347] IONOV D. A. (1994),samp. MO104,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / MONGOLIA - CENOZOIC/QUATERNARY / KHANGAI OROGEN / SHAVARYN-TSARAM,TARIAT DEPRESSION,48.2,48.2,100,100,subaerial,,,LHERZOLITE XENOLITH,,,,,missing,,,,,primary,,,,,,,,,,211,129,,49.4,6.26,1.34,,,2.4,,1.65,,0.8,,,,,,,,
48,969,[12885] ARZAMASTSEV A. A. (2009),samp. KZ-13,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX,PULVERBUCK OBERBERGEN,48.1,48.1,7.65,7.65,subaerial,,,MELILITITE,,,,,missing,,,,,primary,282,,,0.1,2977,199,14,0.8,78.6,1358,2244,260,1013,147,39,96,11,49,8.1,18,1.8,8.5,1.1,0.7,,89,4.3,,,0.716790703
49,970,[12885] ARZAMASTSEV A. A. (2009),samp. KZ-5,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / UPPER RHINEGRABEN / KAISERSTUHL VOLCANIC COMPLEX,HORBERIG OBERBERGEN,48.1,48.1,7.65,7.65,subaerial,,,NEPHELINITE,,,,,missing,,,,,primary,151,,,0.1,3051,304,14,1.4,62,1524,2680,295,1167,173,46,121,14,67,12,27,3.1,15,2,0.6,,133,12,,,0.618311134
50,1074,[13378] ULRYCH J. (2000),samp. IJOLITE,INTRAPLATE VOLCANICS,EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF / PODHORNI VRCH,,49.97,49.97,12.7,12.7,subaerial,846,846,IJOLITE,,,,,missing,,,,,primary,,,2.8,,9937,10.6,1430,48,,2260,3577,,1378,160.4,49.14,170,13.15,,,,2.98,10.6,1.37,,,161.5,16,,,0.488249386
51,1078,[13415] MOKHTARI A. (1988),samp. EGA,INTRAPLATE VOLCANICS,ATLAS MOUNTAINS / ATLAS MOUNTAINS / MIDDLE ATLAS,FERME DUBOIS TAOURIRT AREA,34.45,34.45,-3,-3,subaerial,,,CAMPTONITE,,,,,missing,,,,,primary,,,,,6083,,820,,50.8,1304,2243,,893,112,40.4,,10.8,,,,,8.6,,,,89.2,13.1,,,
52,1158,[13780] LAURORA A. (2001),samp. GG104,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA,GOBERNADOR GREGORES,-48.47,-48.47,-69.56,-69.56,subaerial,,,LHERZOLITE SPINEL XENOLITH,,,,,missing,,,,,primary,,,,,10690,118,6.32,0.86,383,2246,3217,291,1078,128,31.8,81.4,,37.2,,9.51,,5.98,,13.8,,218,68.2,,,0.738678379
53,1238,[14412] ACOSTA-VIGIL A. (2010),samp. HO-33,CONVERGENT MARGIN,BETIC-RIF OROGENIC BELT (GIBRALTAR ARC) / BETIC CORDILLERA / NEOGENE ALBORAN VOLCANIC PROVINCE / EL HOYAZO,,37,37,-2.4,-2.4,subaerial,,,NOT GIVEN,,,,,missing,,,,,primary,3.4,,4.4,0.45,671,1690,0.8,0.04,2.5,289,953,151,755,279,32,422,80,452,56,86,7.3,31.3,3.2,22,,2.5,32,,,0.097116514
54,1245,[14813] MALARKEY J. (2010),samp. M77,INTRAPLATE VOLCANICS,NAMAQUALAND NATAL BELT / SOUTH AFRICA / WESTERN CAPE PROVINCE / SALPETRE KOP,,-32.35,-32.35,20.9,20.9,subaerial,,,MELILITITE OLIVINE,,,,,missing,,,,,primary,,,,1.675461196,5877.150077,364.488286,176.5754537,65.45159763,1206.277467,1547.561826,2175.425462,233.4473633,815.4738515,138.5410245,34.92956366,101.8266663,15.48572392,66.35369233,,22.96543622,,13.84344429,2.021041901,30.51975719,,52.90473916,9.344173697,,,0.623447797
55,1273,[14813] MALARKEY J. (2010),samp. JOS,INTRAPLATE VOLCANICS,CANADIAN SHIELD / CHURCHILL PROVINCE_MESOZOIC / SOMERSET ISLAND KIMBERLITE PROVINCE / JOS KIMBERLITE DIKE,,73.334,73.334,-92.927,-92.927,subaerial,,,KIMBERLITE,,,,,missing,,,,,primary,,,,3.215829216,4870.058182,148.7971016,32.86159265,5.39862244,556.2663053,1464.743269,2885.666261,292.8096489,1008.401848,123.2979863,29.57192504,110.1651366,10.03727676,40.31291374,,14.27334586,,4.712575057,0.61306132,10.05364869,,87.63904469,3.047205847,,,0.51714828
56,1286,[14859] DOUCELANCE R. (2010),samp. BR-15,OCEAN ISLAND,CAPE VERDE ISLANDS / BRAVA / MIDDLE BRAVA UNIT,RIBEIRA DA AGUADA,14.83,14.83,-24.68,-24.68,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,1.7,,228,7.5,1.2,671,834,1930,,842,,37.1,,12.5,,,,,13.4,1.5,,,39.5,3.4,,0.512912,
57,1287,[14859] DOUCELANCE R. (2010),samp. F-211C,OCEAN ISLAND,CAPE VERDE ISLANDS / FOGO,RIBEIRA DO PICO,14.92,14.92,-24.35,-24.35,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,0.5,,402,18.1,20,397,1560,3500,,1700,,79.6,,25.4,,,,,20.9,2.2,,,133,13.9,,0.512945,
58,1288,[14859] DOUCELANCE R. (2010),samp. F-230B,OCEAN ISLAND,CAPE VERDE ISLANDS / FOGO,RIBEIRA TRINDADE,15,15,-24.5,-24.5,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,8.5,,317,13.4,9.9,137,983,2000,,967,,52.8,,16.8,,,,,15.5,1.6,,,44.2,11,,,
59,1289,[14859] DOUCELANCE R. (2010),samp. F-230C,OCEAN ISLAND,CAPE VERDE ISLANDS / FOGO,RIBEIRA TRINDADE,15,15,-24.5,-24.5,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,0.8,,316,10.7,3,599,995,2300,,1010,,53.1,,17.2,,,,,14.9,1.7,,,77.1,10.2,,,
60,1290,[14859] DOUCELANCE R. (2010),samp. S-309,OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,0.5,,285,8.7,3.3,376,1120,2850,,1480,,69.5,,20,,,,,14,1.7,,,55.8,7.6,,,
61,1291,[14859] DOUCELANCE R. (2010),samp. S-311,OCEAN ISLAND,CAPE VERDE ISLANDS / SANTIAGO,RIBEIRA DE BARCA COMPLEX,14.9,14.9,-24.3,-24.3,subaerial,,,CARBONATITE,,,,,missing,,,,,primary,,,,1.2,,223,13.2,4.6,881,1010,2310,,919,,43.9,,13.4,,,,,11.3,1.2,,,30.2,1,,,
